restaurant_id,name,ingredients,description,price,visibility,image
1,Classic Cheeseburger,"Beef patty, cheddar cheese, lettuce, tomato, onions, pickles",A classic cheeseburger with a juicy beef patty and melted cheddar cheese.,9.5,1,img/cheese-burger.jpg
1,Bacon Burger,"Beef patty, bacon, BBQ sauce, lettuce, tomato",Savory bacon burger with crispy bacon and smoky BBQ sauce.,10.5,1,img/bacon-burger.jpg
1,Mushroom Swiss Burger,"Beef patty, Swiss cheese, mushrooms, lettuce, tomato",Tasty beef burger with melted Swiss cheese and sautéed mushrooms,11.0,1,img/mushroom-burger.jpg
1,Smokehouse Burger,"Beef patty, smoked cheddar, crispy onions, bacon, barbecue sauce",Rich smokehouse burger with a beef patty smoked cheddar crispy onions and smoky barbecue sauce.,11.5,1,img/smokehouse-burger.jpg
1,Classic American Burger,"Beef patty, American cheese, pickles, ketchup, mustard, lettuce, tomato",A timeless American-style burger with a juicy beef patty and classic toppings.,9.5,1,img/american-burger.jpg
2,Kung Pao Chicken,"Chicken, peanuts, vegetables, chili peppers",Spicy stir-fried chicken with crunchy peanuts and vegetables.,11.0,1,img/kung-pao-chicken.jpg
2,Sweet and Sour Pork,"Pork, pineapple, bell peppers",Pork in a sweet and sour sauce with pineapple and bell peppers.,10.0,1,img/sweet-and-sour-Pork.jpg
2,Fried Rice,"Rice, chicken, shrimp, eggs, peas, carrots","Classic fried rice with chicken, shrimp, scrambled eggs, peas, and carrots",8.5,1,img/fried-rice.jpg
2,Hot and Sour Soup,"Tofu, mushrooms, bamboo shoots, egg","Traditional hot and sour soup with tofu, mushrooms, and bamboo shoots",7.0,1,img/hot-and-sour-soup.jpg
2,General Tso's Chicken,"Chicken, chili peppers, garlic, ginger, spring onions",Crispy chicken in a slightly spicy and sweet sauce with chili peppers and garlic,11.5,1,img/general-tsao-chicken.jpg
3,Sushi Set,"Rice, salmon, tuna, avocado","Assorted sushi set with fresh salmon, tuna, and creamy avocado.",16.0,1,img/sushi-set.jpg
3,Ramen Noodles,"Noodles, pork broth, soy sauce, pork slices",Rich pork broth ramen with noodles and tender pork slices.,12.0,1,img/ramen-noodles.jpg
3,Chicken Teriyaki,"Chicken, teriyaki sauce, rice, sesame seeds","Grilled chicken in a sweet teriyaki sauce, served with steamed rice",10.5,1,img/chicken-teriyaki.jpg
3,Tempura Udon,"Udon noodles, shrimp tempura, broth",Thick udon noodles in a rich broth with crispy shrimp tempura,14.0,1,img/tempura-udon.jpg
3,Sashimi Platter,"Fresh fish slices, wasabi, soy sauce","A selection of fresh sashimi, including tuna, salmon, and mackerel",18.0,0,img/sashimi-platter.jpg
4,Margherita Pizza,"Tomato sauce, mozzarella, basil",Classic Italian pizza with fresh mozzarella and basil,8.5,1,img/margherita.jpg
4,Pepperoni Pizza,"Tomato sauce, mozzarella, pepperoni",Spicy pepperoni pizza with rich tomato sauce and mozzarella cheese,9.5,1,img/pepperoni-pizza.jpg
4,Veggie Pizza,"Tomato sauce, mozzarella, bell peppers, olives, onions, mushrooms","A healthy choice loaded with bell peppers, olives, onions, and mushrooms",9.0,1,img/veggie-pizza.jpg
4,Hawaiian Pizza,"Tomato sauce, mozzarella, ham, pineapple",A sweet and savory combination of ham and pineapple,10.0,0,img/hawaiian-pizza.jpg
4,Four Cheese Pizza,"Tomato sauce, mozzarella, parmesan, gorgonzola, ricotta",Rich and creamy pizza with a blend of four cheeses,11.0,1,img/quattro-formaggi.jpg
1,Golden Cheeseburger,"Wagyu Beef patty, golden cheddar cheese, silver lettuce, top quality tomato, golden onions, pickles",A classic cheeseburger with a juicy beef patty and melted cheddar cheese.,2499.99,1,img/golden-burger.jpg
